Annee,Manifest,firstPage
1947,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014276q/manifest.json,/Users/jacob/Desktop/first-pages/1947.png
1948,,
1949,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142775/manifest.json,/Users/jacob/Desktop/first-pages/1949.png
1950,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014278m/manifest.json,/Users/jacob/Desktop/first-pages/1950.png
1951,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142792/manifest.json,/Users/jacob/Desktop/first-pages/1951.png
1952,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014280f/manifest.json,/Users/jacob/Desktop/first-pages/1952.png
1953,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014281w/manifest.json,/Users/jacob/Desktop/first-pages/1953.png
1954,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014282b/manifest.json,/Users/jacob/Desktop/first-pages/1954.png
1955,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014283s/manifest.json,/Users/jacob/Desktop/first-pages/1955.png
1956,,
1957,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142847/manifest.json,/Users/jacob/Desktop/first-pages/1957.png
1958,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014285p/manifest.json,/Users/jacob/Desktop/first-pages/1958.png
1959,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142864/manifest.json,/Users/jacob/Desktop/first-pages/1959.png
1960,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014287k/manifest.json,/Users/jacob/Desktop/first-pages/1960.png
1961,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142881/manifest.json,/Users/jacob/Desktop/first-pages/1961.png
1962,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014289g/manifest.json,/Users/jacob/Desktop/first-pages/1962.png
1963,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014290v/manifest.json,/Users/jacob/Desktop/first-pages/1963.png
1964,,
1965,,
1966,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142919/manifest.json,/Users/jacob/Desktop/first-pages/1966.png
1967,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014292r/manifest.json,/Users/jacob/Desktop/first-pages/1967.png
1968,,
1969,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142936/manifest.json,/Users/jacob/Desktop/first-pages/1969.png
1970,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014294n/manifest.json,/Users/jacob/Desktop/first-pages/1970.png
1971,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142953/manifest.json,/Users/jacob/Desktop/first-pages/1971.png
1972,,
1973,,
1974,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014296j/manifest.json,/Users/jacob/Desktop/first-pages/1974.png
1975,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550142970/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1975.png
1976,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014298f/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1976.png
1977,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014299w/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1977.png
1978,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014300h/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1978.png
1979,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014301z/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1979.png
1980,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014302d/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1980.png
1981,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014303v/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1981.png
1982,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550143049/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1982.png
1983,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014305r/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1983.png
1984,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550143066/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1984.png
1985,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014307n/manifest.json,/Users/jacob/Desktop/first-pages/page_001_FDA1985.png
1986,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550143083/manifest.json,/Users/jacob/Desktop/first-pages/1986.png
1987,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014309j/manifest.json,/Users/jacob/Desktop/first-pages/1987.png
1988,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014310x/manifest.json,/Users/jacob/Desktop/first-pages/1988.png
1989,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014311c/manifest.json,/Users/jacob/Desktop/first-pages/1989.png
1990,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014312t/manifest.json,/Users/jacob/Desktop/first-pages/1990.png
1991,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550143138/manifest.json,/Users/jacob/Desktop/first-pages/1991.png
1992,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014314q/manifest.json,/Users/jacob/Desktop/first-pages/1992.png
1993,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550143155/manifest.json,/Users/jacob/Desktop/first-pages/1993.png
1994,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014316m/manifest.json,/Users/jacob/Desktop/first-pages/1994.png
1995,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550143172/manifest.json,/Users/jacob/Desktop/first-pages/1995.png
